unit,s_adj,nace_r2,indic,geo,TIME_PERIOD,OBS_VALUE
I20,SCA,B,LM-LCI-TOT,PL,2023-Q2,154.0
I20,SCA,B,LM-LCI-TOT,PL,2023-Q3,139.6
I20,SCA,B,LM-LCI-TOT,PL,2023-Q4,170.2
I20,SCA,B,LM-LCI-TOT,PL,2024-Q1,151.5
I20,SCA,B,LM-LCI-TOT,PT,2021-Q1,103.7
I20,SCA,B,LM-LCI-TOT,PT,2021-Q2,107.4
I20,SCA,B,LM-LCI-TOT,PT,2021-Q3,109.1
I20,SCA,B,LM-LCI-TOT,PT,2021-Q4,110.9
I20,SCA,B,LM-LCI-TOT,PT,2022-Q1,111.0
I20,SCA,B,LM-LCI-TOT,PT,2022-Q2,112.6
I20,SCA,B,LM-LCI-TOT,PT,2022-Q3,111.8
I20,SCA,B,LM-LCI-TOT,PT,2022-Q4,111.2
I20,SCA,B,LM-LCI-TOT,PT,2023-Q1,113.4
I20,SCA,B,LM-LCI-TOT,PT,2023-Q2,114.9
I20,SCA,B,LM-LCI-TOT,PT,2023-Q3,119.3
I20,SCA,B,LM-LCI-TOT,PT,2023-Q4,121.9
I20,SCA,B,LM-LCI-TOT,PT,2024-Q1,126.9
I20,SCA,B,LM-LCI-TOT,RO,2021-Q1,102.9
I20,SCA,B,LM-LCI-TOT,RO,2021-Q2,104.9
I20,SCA,B,LM-LCI-TOT,RO,2021-Q3,105.7
I20,SCA,B,LM-LCI-TOT,RO,2021-Q4,110.3
I20,SCA,B,LM-LCI-TOT,RO,2022-Q1,103.0
I20,SCA,B,LM-LCI-TOT,RO,2022-Q2,113.2
I20,SCA,B,LM-LCI-TOT,RO,2022-Q3,120.1
I20,SCA,B,LM-LCI-TOT,RO,2022-Q4,122.3
I20,SCA,B,LM-LCI-TOT,RO,2023-Q1,126.9
I20,SCA,B,LM-LCI-TOT,RO,2023-Q2,132.3
I20,SCA,B,LM-LCI-TOT,RO,2023-Q3,128.4
I20,SCA,B,LM-LCI-TOT,RO,2023-Q4,140.5
I20,SCA,B,LM-LCI-TOT,RO,2024-Q1,137.9
